1.4692,2.3536,0.34212
-1.5444,-2.2224,0.019884
-1.6496,-0.89992,-0.1156
-1.2775,2.5649,0.29741
-2.6921,0.556,-0.11044
-2.0226,2.0304,0.070598
-1.9946,0.013204,-1.3537
2.996,-0.86756,0.0169
-2.7175,-1.718,0.0032898
-0.61297,-0.99799,2.4614
-1.6224,2.6167,0.091062
1.0991,2.7727,0.22708
-0.37216,2.642,1.0431
-2.965,0.66184,-0.029198
1.8065,-1.6021,-0.096646
2.5948,1.5796,0.026549
1.9587,0.44078,1.2758
1.7555,-1.0258,0.70653
-1.6592,-1.1257,0.1855
0.50714,1.9795,4.6719
-1.2572,-0.58467,-0.20941
2.1723,0.68844,0.55747
2.9471,-1.7778,0.0015791
1.9633,1.0552,0.59175
-1.5063,-0.14529,-2.4637
-0.60555,0.59663,0.099375
1.8031,-2.3696,-0.086639
1.9287,2.0465,0.15782
-0.87296,-0.41958,1.2583
0.43344,1.2049,4.908
1.4548,1.5473,1.2837
-0.66523,-0.42419,2.6372
2.7381,0.43783,0.092798
2.0983,-1.3419,0.13016
0.73394,0.53017,1.2829
2.7808,-2.4846,-0.00021821
0.0029933,0.12954,0.70845
-2.459,2.428,0.004465
2.3063,-0.36606,0.52368
1.6903,-2.1092,-0.22722
0.7189,-1.4363,-4.3374
-0.32606,2.064,4.7551
-1.8228,-1.1769,0.076276
-0.10023,-0.97313,0.24893
1.7909,2.9249,0.017201
-2.0457,-1.5787,0.067661
1.2134,-0.74717,1.7427
2.8422,2.8338,0.00021069
0.86219,2.1606,2.1243
-0.5887,0.79158,0.91974
2.9114,0.35686,0.044962
2.6016,1.3221,0.042702
-0.095769,0.83419,2.1422
2.3258,-1.8076,9.3242e-005
-0.6278,2.9531,0.24808
-0.58589,0.95314,2.0159
2.4081,2.9723,0.0010987
0.91898,-2.3494,-1.2232
-2.7833,0.70855,-0.062308
0.40287,2.7718,0.64286
1.4766,0.9751,1.6643
0.13988,-1.4406,-5.8712
2.772,0.24122,0.091445
-2.8184,1.1779,-0.020265
0.1183,-2.6458,-1.0135
2.3402,-1.0188,0.18963
-1.6218,-2.3163,0.023539
-1.1345,-1.6294,0.047615
0.91198,-2.603,-0.59235
-1.3474,-1.3091,0.62539
2.2804,-0.33402,0.58056
1.5355,0.61978,2.1988
1.6996,-2.3164,-0.14803
2.8714,2.0916,0.0020998
-2.6961,-0.20279,-0.13032
-1.0461,0.78123,-1.17
-1.6182,0.47931,-2.2623
0.61894,0.59927,0.92171
-0.30943,-2.7875,-0.45641
0.082889,-0.55362,1.4734
-2.3517,-0.24075,-0.44535
-0.2947,0.30684,0.94874
1.8324,1.2051,0.6806
2.2334,-2.6868,-0.0047063
-1.6819,-0.24215,-1.9395
2.7512,1.7403,0.0091005
-0.28875,-0.99943,1.2412
-2.6454,1.4454,-0.015964
0.040767,-1.8004,-5.9303
-0.43684,-1.9879,-3.0023
1.5102,-0.78989,1.6251
2.6509,-2.897,-0.00017846
1.9743,0.75955,0.86348
0.23248,0.90305,2.3947
1.3598,-2.4331,-0.34399
2.2654,-2.9138,-0.0017032
-1.2342,-1.9205,-0.12285
2.5578,-2.5909,-0.00094106
0.48656,0.82291,1.5935
0.90762,2.1877,1.8578
-2.6643,1.9011,0.00090243
0.17353,1.1661,5.288
-1.7256,0.25968,-2.2307
1.2151,2.7386,0.19778
-0.33275,-2.4876,-1.2324
-2.656,0.7767,-0.095485
1.7771,1.1471,0.82799
-0.92815,2.6809,0.44196
0.12114,2.7229,0.89209
-2.5584,-1.7578,0.0078321
1.6502,2.4851,0.13594
1.6953,-1.2268,0.29683
-2.0889,2.0875,0.049217
1.7091,-1.375,0.048285
-1.6331,-1.0739,0.17035
1.9774,1.9331,0.16442
0.4241,0.43098,0.12552
-1.2839,1.1948,0.21787
1.7775,-0.35047,2.0217
-0.32271,-0.20603,2.5743
-1.3258,1.0523,-0.49593
2.422,2.4512,0.0071917
1.4832,-1.4369,-0.37872
